age
,3,5,1,6,10,11,12,13,9,2,8,4,7,14,15,17,16,19
0,argmin,sparse_precision_at_k,from_sparse_tensor_slices,conv1d,create_op,add_meta_graph_and_variables,input_producer,main_op_with_restore,shard,batch_scatter_update,cross_entropy,create_summary_file_writer,simple_save,where,compute_gradient_error,auc,initialize,start
1,argmax,l2_normalize,set_stats_aggregator,to_complex64,sample_distorted_bounding_box,add_queue_runner,batch_join,tensor_shape_from_node_def_name,output_classes,enumerate_dataset,get_next_as_optional,export_saved_model,separable_conv1d,graph,compute_gradient,get_updates_for,,stop
2,increment_var,sparse_average_precision_at_k,load_from_saved_model,to_complex128,get_tensor_from_tensor_info,add_meta_graph,string_input_producer,max_pooling3d,,shuffle_and_repeat,,experimental_run_v2,alias_inplace_add,weighted_cross_entropy_with_logits,apply,get_losses_for,,updates
3,remove_checkpoint,softmax_cross_entropy_with_logits,,,output_shapes,start_queue_runners,limit_epochs,dropout,,parallel_interleave,,monitor,alias_inplace_sub,initialized_value,vector,,,save
4,batch_gather,import_graph_def,,,make_initializable_iterator,kl_divergence,range_input_producer,max_pooling1d,,map_and_batch,,,inplace_update,convert_all_kernels_in_model,scalar,,,
5,unbatch,cosine_distance,,,make_one_shot_iterator,static_rnn,maybe_shuffle_batch_join,average_pooling2d,,,,,inplace_sub,predict_classes,matrix,,,
6,experimental_ref,while_loop_v2,,,output_types,static_bidirectional_rnn,maybe_batch,create_partitioned_variables,,,,,alias_inplace_update,predict_proba,graph_parents,,,
7,,start_tracing,,,cpu,init,shuffle_batch,load,,,,,inplace_add,,set_learning_phase,,,
8,,terminate_keras_multiprocessing_pools,,,gpu,multi_gpu_model,VARIABLES,main_op,,,,,make_saveable_from_iterator,,random_binomial,,,
9,,maybe_create_event_file,,,,,sparse_to_dense,conv2d_transpose,,,,,,,state_updates,,,
10,,start_profiler_server,,,,,maybe_shuffle_batch,div,,,,,,,,,,
11,,experimental_make_numpy_dataset,,,,,slice_input_producer,py_func,,,,,,,,,,
12,,run_multiple_tasks_in_processes,,,,,batch,to_double,,,,,,,,,,
13,,join_independent_workers,,,,,Print,colocate_with,,,,,,,,,,
14,,stream_stderr,,,,,shuffle_batch_join,separable_conv2d,,,,,,,,,,
15,,,,,,,maybe_batch_join,tf_record_iterator,,,,,,,,,,
16,,,,,,,static_state_saving_rnn,to_float,,,,,,,,,,
17,,,,,,,learning_phase_scope,count_up_to,,,,,,,,,,
18,,,,,,,,conv3d,,,,,,,,,,
19,,,,,,,,get_checkpoint_mtimes,,,,,,,,,,
20,,,,,,,,checkpoint_exists,,,,,,,,,,
21,,,,,,,,remove_training_nodes,,,,,,,,,,
22,,,,,,,,max_pooling2d,,,,,,,,,,
23,,,,,,,,update_checkpoint_state,,,,,,,,,,
24,,,,,,,,multinomial,,,,,,,,,,
25,,,,,,,,to_int64,,,,,,,,,,
26,,,,,,,,clip_by_average_norm,,,,,,,,,,
27,,,,,,,,sparse_merge,,,,,,,,,,
28,,,,,,,,to_bfloat16,,,,,,,,,,
29,,,,,,,,average_pooling3d,,,,,,,,,,
30,,,,,,,,load_file_system_library,,,,,,,,,,
31,,,,,,,,bidirectional_dynamic_rnn,,,,,,,,,,
32,,,,,,,,convert_variables_to_constants,,,,,,,,,,
33,,,,,,,,build_tensor_info,,,,,,,,,,
34,,,,,,,,flatten,,,,,,,,,,
35,,,,,,,,test_session,,,,,,,,,,
36,,,,,,,,extract_sub_graph,,,,,,,,,,
37,,,,,,,,batch_normalization,,,,,,,,,,
38,,,,,,,,dense,,,,,,,,,,
39,,,,,,,,setdiff1d,,,,,,,,,,
40,,,,,,,,conv2d,,,,,,,,,,
41,,,,,,,,to_int32,,,,,,,,,,
42,,,,,,,,conv3d_transpose,,,,,,,,,,
43,,,,,,,,average_pooling1d,,,,,,,,,,
44,,,,,,,,must_run_on_cpu,,,,,,,,,,
45,,,,,,,,dynamic_rnn,,,,,,,,,,
46,,,,,,,,add_variable,,,,,,,,,,
47,,,,,,,,is_gpu_available,,,,,,,,,,
48,,,,,,,,predict_generator,,,,,,,,,,
49,,,,,,,,evaluate_generator,,,,,,,,,,
50,,,,,,,,fit_generator,,,,,,,,,,
