,0
argmin,"('tensorflow-r1.3', 'tensorflow-r1.0')"
argmax,"('tensorflow-r1.3', 'tensorflow-r1.0')"
sparse_precision_at_k,"('tensorflow-r1.5', 'tensorflow-r1.0')"
from_sparse_tensor_slices,"('tensorflow-r1.5', 'tensorflow-r1.4')"
l2_normalize,"('tensorflow-r1.5', 'tensorflow-r1.0')"
sparse_average_precision_at_k,"('tensorflow-r1.5', 'tensorflow-r1.0')"
softmax_cross_entropy_with_logits,"('tensorflow-r1.5', 'tensorflow-r1.0')"
import_graph_def,"('tensorflow-r1.5', 'tensorflow-r1.0')"
cosine_distance,"('tensorflow-r1.5', 'tensorflow-r1.0')"
conv1d,"('tensorflow-r1.6', 'tensorflow-r1.0')"
create_op,"('tensorflow-r1.10', 'tensorflow-r1.0')"
add_meta_graph_and_variables,"('tensorflow-r1.11', 'tensorflow-r1.0')"
add_queue_runner,"('tensorflow-r1.11', 'tensorflow-r1.0')"
add_meta_graph,"('tensorflow-r1.11', 'tensorflow-r1.0')"
start_queue_runners,"('tensorflow-r1.11', 'tensorflow-r1.0')"
increment_var,"('tensorflow-r1.11', 'tensorflow-r1.8')"
input_producer,"('tensorflow-r1.12', 'tensorflow-r1.0')"
batch_join,"('tensorflow-r1.12', 'tensorflow-r1.0')"
string_input_producer,"('tensorflow-r1.12', 'tensorflow-r1.0')"
limit_epochs,"('tensorflow-r1.12', 'tensorflow-r1.0')"
range_input_producer,"('tensorflow-r1.12', 'tensorflow-r1.0')"
maybe_shuffle_batch_join,"('tensorflow-r1.12', 'tensorflow-r1.0')"
maybe_batch,"('tensorflow-r1.12', 'tensorflow-r1.0')"
shuffle_batch,"('tensorflow-r1.12', 'tensorflow-r1.0')"
VARIABLES,"('tensorflow-r1.12', 'tensorflow-r1.0')"
sparse_to_dense,"('tensorflow-r1.12', 'tensorflow-r1.0')"
maybe_shuffle_batch,"('tensorflow-r1.12', 'tensorflow-r1.0')"
slice_input_producer,"('tensorflow-r1.12', 'tensorflow-r1.0')"
batch,"('tensorflow-r1.12', 'tensorflow-r1.0')"
Print,"('tensorflow-r1.12', 'tensorflow-r1.0')"
shuffle_batch_join,"('tensorflow-r1.12', 'tensorflow-r1.0')"
maybe_batch_join,"('tensorflow-r1.12', 'tensorflow-r1.0')"
main_op_with_restore,"('tensorflow-r1.13', 'tensorflow-r1.0')"
tensor_shape_from_node_def_name,"('tensorflow-r1.13', 'tensorflow-r1.0')"
kl_divergence,"('tensorflow-r1.13', 'tensorflow-r1.2')"
max_pooling3d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
dropout,"('tensorflow-r1.13', 'tensorflow-r1.0')"
max_pooling1d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
shard,"('tensorflow-r1.13', 'tensorflow-r1.4')"
batch_scatter_update,"('tensorflow-r1.13', 'tensorflow-r1.11')"
average_pooling2d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
create_partitioned_variables,"('tensorflow-r1.13', 'tensorflow-r1.0')"
load,"('tensorflow-r1.13', 'tensorflow-r1.0')"
main_op,"('tensorflow-r1.13', 'tensorflow-r1.0')"
conv2d_transpose,"('tensorflow-r1.13', 'tensorflow-r1.0')"
div,"('tensorflow-r1.13', 'tensorflow-r1.0')"
py_func,"('tensorflow-r1.13', 'tensorflow-r1.0')"
to_double,"('tensorflow-r1.13', 'tensorflow-r1.0')"
colocate_with,"('tensorflow-r1.13', 'tensorflow-r1.0')"
separable_conv2d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
to_complex64,"('tensorflow-r1.13', 'tensorflow-r1.7')"
static_rnn,"('tensorflow-r1.13', 'tensorflow-r1.2')"
tf_record_iterator,"('tensorflow-r1.13', 'tensorflow-r1.0')"
static_bidirectional_rnn,"('tensorflow-r1.13', 'tensorflow-r1.2')"
to_float,"('tensorflow-r1.13', 'tensorflow-r1.0')"
init,"('tensorflow-r1.13', 'tensorflow-r1.2')"
count_up_to,"('tensorflow-r1.13', 'tensorflow-r1.0')"
set_stats_aggregator,"('tensorflow-r1.13', 'tensorflow-r1.12')"
conv3d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
cross_entropy,"('tensorflow-r1.13', 'tensorflow-r1.5')"
get_checkpoint_mtimes,"('tensorflow-r1.13', 'tensorflow-r1.0')"
checkpoint_exists,"('tensorflow-r1.13', 'tensorflow-r1.0')"
remove_training_nodes,"('tensorflow-r1.13', 'tensorflow-r1.0')"
create_summary_file_writer,"('tensorflow-r1.13', 'tensorflow-r1.9')"
max_pooling2d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
simple_save,"('tensorflow-r1.13', 'tensorflow-r1.6')"
update_checkpoint_state,"('tensorflow-r1.13', 'tensorflow-r1.0')"
remove_checkpoint,"('tensorflow-r1.13', 'tensorflow-r1.10')"
multinomial,"('tensorflow-r1.13', 'tensorflow-r1.0')"
to_int64,"('tensorflow-r1.13', 'tensorflow-r1.0')"
sample_distorted_bounding_box,"('tensorflow-r1.13', 'tensorflow-r1.3')"
to_complex128,"('tensorflow-r1.13', 'tensorflow-r1.7')"
clip_by_average_norm,"('tensorflow-r1.13', 'tensorflow-r1.0')"
sparse_merge,"('tensorflow-r1.13', 'tensorflow-r1.0')"
to_bfloat16,"('tensorflow-r1.13', 'tensorflow-r1.0')"
average_pooling3d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
separable_conv1d,"('tensorflow-r1.13', 'tensorflow-r1.6')"
load_file_system_library,"('tensorflow-r1.13', 'tensorflow-r1.0')"
bidirectional_dynamic_rnn,"('tensorflow-r1.13', 'tensorflow-r1.0')"
convert_variables_to_constants,"('tensorflow-r1.13', 'tensorflow-r1.0')"
build_tensor_info,"('tensorflow-r1.13', 'tensorflow-r1.0')"
flatten,"('tensorflow-r1.13', 'tensorflow-r1.0')"
get_tensor_from_tensor_info,"('tensorflow-r1.13', 'tensorflow-r1.3')"
test_session,"('tensorflow-r1.13', 'tensorflow-r1.0')"
extract_sub_graph,"('tensorflow-r1.13', 'tensorflow-r1.0')"
batch_normalization,"('tensorflow-r1.13', 'tensorflow-r1.0')"
dense,"('tensorflow-r1.13', 'tensorflow-r1.0')"
setdiff1d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
conv2d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
to_int32,"('tensorflow-r1.13', 'tensorflow-r1.0')"
conv3d_transpose,"('tensorflow-r1.13', 'tensorflow-r1.0')"
average_pooling1d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
must_run_on_cpu,"('tensorflow-r1.13', 'tensorflow-r1.0')"
dynamic_rnn,"('tensorflow-r1.13', 'tensorflow-r1.0')"
where,"('tensorflow-r1.14', 'tensorflow-r1.0')"
output_shapes,"('tensorflow-r1.14', 'tensorflow-r1.4')"
enumerate_dataset,"('tensorflow-r1.14', 'tensorflow-r1.12')"
make_initializable_iterator,"('tensorflow-r1.14', 'tensorflow-r1.4')"
make_one_shot_iterator,"('tensorflow-r1.14', 'tensorflow-r1.4')"
shuffle_and_repeat,"('tensorflow-r1.14', 'tensorflow-r1.12')"
static_state_saving_rnn,"('tensorflow-r1.14', 'tensorflow-r1.2')"
parallel_interleave,"('tensorflow-r1.14', 'tensorflow-r1.12')"
output_classes,"('tensorflow-r1.14', 'tensorflow-r1.5')"
map_and_batch,"('tensorflow-r1.14', 'tensorflow-r1.12')"
batch_gather,"('tensorflow-r1.14', 'tensorflow-r1.11')"
output_types,"('tensorflow-r1.14', 'tensorflow-r1.4')"
graph,"('tensorflow-r1.14', 'tensorflow-r1.0')"
