,0
import_graph_def,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/framework/importer.py
cosine_distance,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/losses/losses_impl.py
listdiff,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/array_ops.py
quantize_v2,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/array_ops.py
l2_normalize,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/nn_impl.py
all_variables,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/variables.py
initialize_variables,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/variables.py
initialize_all_variables,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/variables.py
initialize_local_variables,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/variables.py
initialize_all_tables,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/lookup_ops.py
softmax_cross_entropy_with_logits,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/nn_ops.py
conv1d,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/nn_ops.py
var_scope,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/template.py
sparse_average_precision_at_k,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/metrics_impl.py
sparse_precision_at_k,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/metrics_impl.py
histogram_summary,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
image_summary,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
audio_summary,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
merge_summary,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
merge_all_summaries,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
scalar_summary,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/ops/logging_ops.py
from_sparse_tensor_slices,/Users/nianliu/tensorflow/tensorflow-r1.8/tensorflow/python/data/ops/dataset_ops.py
