,0,1,2,3
./models-r2.3.0/official/benchmark/models/synthetic_util.py,flatten,,,
./models-r2.3.0/official/recommendation/data_preprocessing.py,apply,load,,
./models-r2.3.0/official/recommendation/data_pipeline.py,flatten,,,
./models-r2.3.0/official/recommendation/ncf_input_pipeline.py,unbatch,,,
./models-r2.3.0/official/recommendation/movielens.py,apply,,,
./models-r2.3.0/official/recommendation/ncf_keras_main.py,start,,,
./models-r2.3.0/official/staging/training/controller.py,start,,,
./models-r2.3.0/official/vision/detection/utils/object_detection/visualization_utils.py,py_func,,,
./models-r2.3.0/official/vision/detection/utils/object_detection/ops.py,sparse_to_dense,,,
./models-r2.3.0/official/vision/detection/evaluation/coco_utils.py,apply,parallel_interleave,make_one_shot_iterator,
./models-r2.3.0/official/vision/image_classification/mnist_main.py,batch,,,
./models-r2.3.0/official/vision/image_classification/classifier_trainer.py,experimental_run_functions_eagerly,,,
./models-r2.3.0/official/modeling/training/distributed_executor.py,set_learning_phase,,,
./models-r2.3.0/official/modeling/hyperparams/params_dict.py,load,,,
./models-r2.3.0/official/modeling/tf_utils.py,flatten,,,
./models-r2.3.0/official/nlp/tasks/question_answering.py,load,,,
./models-r2.3.0/official/nlp/transformer/metrics.py,softmax_cross_entropy_with_logits,,,
./models-r2.3.0/official/nlp/transformer/data_pipeline.py,apply,,,
./models-r2.3.0/official/nlp/transformer/utils/metrics.py,to_float,to_int32,,
./models-r2.3.0/official/nlp/transformer/transformer_main.py,save,,,
./models-r2.3.0/official/nlp/transformer/beam_search_v1.py,flatten,,,
./models-r2.3.0/official/nlp/transformer/data_download.py,tf_record_iterator,,,
./models-r2.3.0/official/nlp/bert/model_training_utils.py,flatten,,,
./models-r2.3.0/official/nlp/bert/tf1_checkpoint_converter_lib.py,save,,,
./models-r2.3.0/official/nlp/bert/run_squad_helper.py,load,,,
./models-r2.3.0/official/nlp/xlnet/run_squad.py,load,,,
./models-r2.3.0/official/nlp/xlnet/xlnet_config.py,load,,,
./models-r2.3.0/official/nlp/xlnet/data_utils.py,apply,load,sparse_to_dense,parallel_interleave
./models-r2.3.0/official/nlp/xlnet/squad_utils.py,load,,,
./models-r2.3.0/official/nlp/xlnet/preprocess_pretrain_data.py,load,,,
./models-r2.3.0/official/nlp/data/squad_lib.py,load,,,
./models-r2.3.0/official/nlp/data/squad_lib_sp.py,load,,,
./models-r2.3.0/official/nlp/data/classifier_data_lib.py,load,,,
