,deprecated,new,final
0,0.0025,0.0025,0.001911764705882353
1,0.003125,0.0025,0.0022426470588235298
2,0.00125,0.00125,"T-test    0.321108
Name: p-val, dtype: float64"
3,0.00125,0.0025,"T-test    0.345675
Name: cohen-d, dtype: float64"
4,0.001875,0.00125,0
5,0.000625,0.00125,0
6,0.001875,0.0025,0
7,0.001875,0.001875,0
8,0.00125,0.001875,0
9,0.001875,0.003125,0
10,0.00125,0.001875,0
11,0.001875,0.001875,0
12,0.005,0.001875,0
13,0.00125,0.003125,0
14,0.000625,0.001875,0
15,0.00125,0.00375,0
16,0.00375,0.003125,0
