,deprecated,new,p-value
0,0.9927,0.9921,0.5885999874039289
1,0.9933,0.9928,0.5885999874039289
2,0.9921,0.9922,0.5885999874039289
3,0.9929,0.9932,0.5885999874039289
4,0.9933,0.993,0.5885999874039289
5,0.9917,0.9924,0.5885999874039289
6,0.9927,0.9925,0.5885999874039289
7,0.9919,0.9934,0.5885999874039289
8,0.9938,0.993,0.5885999874039289
9,0.9929,0.9938,0.5885999874039289
10,0.9929,0.9921,0.5885999874039289
11,0.9937,0.9923,0.5885999874039289
12,0.9927,0.993,0.5885999874039289
13,0.9931,0.9933,0.5885999874039289
14,0.9923,0.9913,0.5885999874039289
15,0.9915,0.9934,0.5885999874039289
16,0.9922,0.992,0.5885999874039289
17,0.9928,0.9932,0.5885999874039289
18,0.9917,0.9928,0.5885999874039289
19,0.992,0.9926,0.5885999874039289
