,deprecated,new,final
0,0.894125,0.90275,0.90023125
1,0.90475,0.896062,0.8999124999999999
2,0.898438,0.906438,"T-test    0.809163
Name: p-val, dtype: float64"
3,0.902125,0.902812,"T-test    0.076905
Name: cohen-d, dtype: float64"
4,0.895813,0.905688,0
5,0.897187,0.899125,0
6,0.900813,0.899125,0
7,0.903313,0.898125,0
8,0.899125,0.894813,0
9,0.902937,0.903125,0
10,0.891125,0.893938,0
11,0.901812,0.89775,0
12,0.905563,0.898625,0
13,0.90325,0.900688,0
14,0.899625,0.90825,0
15,0.906062,0.902937,0
16,0.899,0.897812,0
17,0.90175,0.8955,0
18,0.89425,0.893687,0
19,0.903562,0.901,0
