,0,1,2,3
./models-r2.0.0/official/mnist/mnist_eager.py,scalar,,,
./models-r2.0.0/official/mnist/mnist.py,make_one_shot_iterator,,,
./models-r2.0.0/official/recommendation/data_preprocessing.py,load,,,
./models-r2.0.0/official/recommendation/data_pipeline.py,flatten,,,
./models-r2.0.0/official/recommendation/movielens.py,apply,,,
./models-r2.0.0/official/transformer/utils/metrics.py,to_float,to_int32,,
./models-r2.0.0/official/transformer/utils/dataset.py,apply,,,
./models-r2.0.0/official/transformer/transformer_main.py,to_float,,,
./models-r2.0.0/official/transformer/v2/metrics.py,softmax_cross_entropy_with_logits,,,
./models-r2.0.0/official/transformer/v2/data_pipeline.py,apply,,,
./models-r2.0.0/official/transformer/model/ffn_layer.py,to_int32,,,
./models-r2.0.0/official/transformer/model/embedding_layer.py,to_float,,,
./models-r2.0.0/official/transformer/model/beam_search.py,flatten,,,
./models-r2.0.0/official/transformer/data_download.py,tf_record_iterator,,,
./models-r2.0.0/official/utils/misc/distribution_utils.py,flatten,,,
./models-r2.0.0/official/utils/testing/reference_data.py,flatten,,,
./models-r2.0.0/official/vision/image_classification/cifar_preprocessing.py,sparse_to_dense,,,
./models-r2.0.0/official/vision/image_classification/common.py,apply,,,
./models-r2.0.0/official/r1/resnet/resnet_model.py,max_pooling2d,dense,batch_normalization,
./models-r2.0.0/official/r1/resnet/resnet_run_loop.py,scalar,,,
./models-r2.0.0/official/modeling/model_training_utils.py,scalar,,,
./models-r2.0.0/official/modeling/hyperparams/params_dict.py,load,,,
./models-r2.0.0/official/modeling/tf_utils.py,flatten,,,
./models-r2.0.0/official/nlp/xlnet_config.py,load,,,
./models-r2.0.0/official/nlp/bert/squad_lib.py,load,,,
./models-r2.0.0/official/nlp/xlnet_modeling.py,flatten,,,
./models-r2.0.0/official/nlp/xlnet/run_squad.py,load,scalar,,
./models-r2.0.0/official/nlp/xlnet/run_classifier.py,scalar,,,
./models-r2.0.0/official/nlp/xlnet/data_utils.py,apply,load,map_and_batch,parallel_interleave
./models-r2.0.0/official/nlp/xlnet/training_utils.py,scalar,,,
./models-r2.0.0/official/nlp/xlnet/squad_utils.py,load,,,
./models-r2.0.0/official/nlp/xlnet/preprocess_pretrain_data.py,load,,,
