,deprecated,new,final
0,0.0,0.001875,0.0016250000000000001
1,0.0025,0.00125,0.0017187500000000002
2,0.003125,0.000625,"T-test    0.791435
Name: p-val, dtype: float64"
3,0.00125,0.0025,"T-test    0.084217
Name: cohen-d, dtype: float64"
4,0.00125,0.0025,0
5,0.0,0.00125,0
6,0.001875,0.00125,0
7,0.000625,0.0025,0
8,0.000625,0.000625,0
9,0.001875,0.003125,0
10,0.00125,0.0025,0
11,0.001875,0.001875,0
12,0.00125,0.00125,0
13,0.001875,0.00125,0
14,0.001875,0.004375,0
15,0.005,0.00125,0
16,0.00125,0.00125,0
17,0.0,0.00125,0
18,0.00125,0.00125,0
19,0.00375,0.000625,0
